,start,end,kor,eng
0,2202,4294,텅 빈 박스야,Completely empty box.
1,4295,5561,한번 확인해봐,If you'd like to examine it...
2,6898,10983,헛된 어린 시절  말고는 없네,I see nothing in this box but a wasted childhood.
3,10985,14270,첼로 학원이나  다닌 주제에,"Little snarky there, Cello Lessons."
4,15655,19942,평범한 원통이야,And we have this completely ordinary cylinder.
5,19944,21327,살펴보시지,If you'd like to examine it...
6,21329,26615,평범하지만  신비로운 기운이 느껴져,"Ordinary, yet I sense it is dripping with magical potential."
7,26617,29151,세상에,"Oh, dear Lord."
8,29153,32621,장을 비우려고  잠시 떠난 사이,A man pops out for a moment to evacuate his bowels
9,32623,35657,배트맨 만화책도  좀 읽고 말야,"and catch up on the adventures of the Caped Crusader,"
10,35659,37643,돌아오니 웬 카바레에  온 것 같네,only to emerge and discover his apartment
11,40431,42448,사촌 생일 파티 전에  리허설을 하는 중이야,"Sheldon, he's just"
12,44385,46218,계속할게,As I was saying...
13,46220,48137,텅 빈 박스에  텅 빈 원통,"empty box, empty cylinder,"
14,49941,52024,짜잔,(whispers): Voila.
15,52026,53976,호그와트행 기차에  네 자리도 있을 거야,"I'm telling you, dude, there's a seat"
16,57315,59031,사촌 앞에서  이런 짓이나 한다고?,This is how you're going to entertain
17,60684,61951,애들을 속이는 거잖아,By lying to them?
18,61953,63986,속이는 거라니?,(chuckles): How is this lying?
19,63988,66572,마술 자체가  기만적인 행위야,A magic show is an inherently deceitful proposition.
20,66574,69625,'이것은 평범한 모자입니다',"""This is an ordinary top hat."""
21,69627,70960,'아무 카드나 뽑아봤습니다',"""You've chosen that card freely."""
22,70962,74964,'자물쇠 해제 장치를 엉덩이에 숨기지 않았어요',"""I do not have a set of lock picks lodged in my keister."""
23,74966,76298,그냥 즐기면 안돼?,KOOTHRAPPALI: Can't you
24,77552,79201,왜 커튼 뒤를  훔쳐보려고 해?,Why must you peek behind the curtain?
25,79203,81036,똥구멍까지 파헤치지 말자,Or up the butt?
26,81038,84206,모자 속에서  토끼가 나온다면서,If we poison the critical thinking faculties of children
27,84208,85724,아이들의 비판적  사고법을 해치면,by telling them that rabbits
28,85726,88894,어른이 되서도  점성술과 동종요법을 믿겠지,"come out of hats, then we create adults"
29,91015,94350,'그린 랜턴'에  라이언 레이놀즈가,and that Ryan Reynolds was a better choice for
30,94352,96852,나단 필리온보다  더 어울린다고 생각할걸,than lovable rogue Nathan Fillion.
31,96854,98854,쉘든,"Sheldon,"
32,98856,101290,마술을 보여주는 것 뿐이야,he's just gonna do a few magic tricks for some kids.
33,101292,102891,설마 '그린 랜턴'을  즐겨보게 될까?,I really don't think they're gonna end up
34,105413,106862,너무 몰아붙이지 마,Don't be so hard on him.
35,106864,108781,쉽게 짜증 낼 법도 해,It's natural to be a little cranky when you have...
36,108783,112167,귓속에 동전이 있거든,(grunts): a quarter in your ear!
37,114070,117089,신체 부위에 동전이  나오는 건 웃을 일이 아냐,Coins lodged in body parts is not a source of amusement.
38,117091,121176,5살 때는 빌리가  페소 동전을 내 코에 넣었어,"When I was five, Billy Sparks put a Mexican peso up my nose."
39,122380,125164,그게 어째서 안 웃기지?,"Wait-wait-wait, how is that not amusing?"
40,125166,126999,아직도 있어,It's still there.
41,127884,129084,공항 보안을 통과하려면  45분이나 걸린다고,Takes me
42,134391,137943,"쉘든을 사라지게 했어,  어때?","Look, I made Sheldon disappear. Ta-da."
43,137945,141397,다음에는 제일 먼저 하도록,"Next time, you should open with that."
44,160892,164392,,"Original Air Date on January 12, 2012"
45,164393,167393,자막,"== sync, corrected by   =="
46,167414,169347,"이게 누구야, 데이트하러 왔네","Ooh, look who's out on a date."
47,169348,173117,"패서디나의 인기 커플, 쉐이미","Pasadena's favorite power couple, Shamy."
48,173119,175202,아까 물어본 질문에 대한 답이 나왔네,"And that is the answer to the question,"
49,175204,177838,왜 치즈케이크 팩토리에서 먹으면 안 되는가,what is wrong with eating at The Cheesecake Factory?
50,177840,180691,오늘 무슨 특별한 날이야?,"So, are we celebrating anything special tonight?"
51,180693,181909,물론이지,"Oh, yes."
52,181911,183694,연애 계약서에 의하면,Our relationship agreement specifies
53,183696,185496,매달 둘째 목요일,"that the second Thursday of every month,"
