,start,end,kor,eng
0,7030,8631,"""왕좌의 게임""에 나온거야",
1,8945,10177,어때?,
2,10179,12080,잘 모르겠어,
3,12082,14816,판타지에 나오는 칼들을 모을거면--,
4,14818,17819,사실 예전부터 그러고 싶었는데--,
5,17821,20020,이 칼부터 모으는게 맞을까?,
6,20022,21739,그럼 어떤게 좋은데?,
7,21741,26077,"음, 일단 떠오르는 건, 엑스칼리버부터 모아야겠어",
8,26079,28863,잉글랜드를 다스릴 힘을 준다잖아.,
9,28865,31666,그냥 영화에 나오는  복제품(replica)일 뿐이야.,
10,31668,33835,그렇네.,
11,33837,37255,그러면 짝퉁(replica) 잉글랜드를  다스릴 힘을 주겠지.,
12,37257,39557,"근데 여기에 엑스칼리버는 없네,",
13,39559,41259,어쩌지 그럼?,
14,41261,43945,"음, 어려운데.",
15,43947,46564,"""반지의 제왕""에 나오는 무기는",
16,46566,50050,중국산 짝퉁도 안가져다 놨고...,
17,50052,53154,"저기 ""빌보 배긴스""의 칼로 하자",
18,53156,57742,어른 둘이 호빗 단검을?? 멍청해 보이잖아.,
19,59611,60895,"됐어, 이걸로 하자.",
20,60897,62914,이거 내가 아끼는 건데,
21,62916,64015,멋지지?,
22,64017,65783,응.,
23,65785,67118,그냥 뭐 괜찮네.,
24,67120,68736,그냥 괜찮다고?? 죽여주는데?,
25,68738,70505,쉿쉿쉿쉿,
26,72341,73908,얼마에 팔거야?,
27,73910,76177,음 TV 드라마에 나온 물건은,
28,76179,78830,부르는게 값이긴 한데,
29,79798,82216,너네는 친구니까 250불 어때?,
30,82218,84469,야 그건 너무 비싼데,
31,84471,85536,이거 한정판이야,
32,85538,88773,딱 8천개밖에 없다고,
33,88775,90224,8천개밖에 없어?,
34,90226,92360,이거 놓치면 안되겠네 얼른 사자,
35,92362,94195,기다려봐,
36,94197,96263,좀 깎아줄수 없어?,
37,96265,97565,장난해?,
38,97567,99317,벌써 가족&친지 할인 해줬잖아,
39,99319,100451,들었어?,
40,100453,101953,가족&친지 할인 해준다잖아,
41,101955,104388,할인 고마워 이걸로 할게,
42,104390,105606,기다려봐 좀,
43,105608,106908,200불?,
44,106910,107909,빨리 좀 하자,
45,107911,109660,250불도 깎아 준거라잖아,
46,109662,111579,입 좀 닫고 있어봐,
47,111581,112747,그럼 235불까지는 해줄게,
48,112749,114165,에이 그래도 안되겠어,
49,114167,116067,야 225불 최대한 깎은거야,
50,116069,118753,사자! 사자!,
51,118755,120588,200불,
52,120590,122340,아주 날 잡았네 오늘!,
53,122342,124725,날을 잡아?  나는 숨도 못쉬겠어 지금,
54,125394,127828,"210불, 손해보고 파는거야",
55,127830,130681,손해보고 판다잖아 레너드. 미안해,
56,130683,133851,210불에 아이언맨 헬멧까지 끼워서,
57,133853,135019,제 정신이야?,
58,135021,136654,Robert Downey Jr. 싸인받은 거라고,
59,136656,137855,근데?,
60,137857,139640,야 영화 주인공 싸인도 받은,
61,139642,142210,플라스틱 헬멧의 중요성까지,
62,142212,144111,의심해야 한다면,
63,144113,147848,우리가 살아있는 거도 의미가 없어!,
64,150869,152420,그래 알았다,
65,152422,153754,칼만 해서 210불,
66,153756,155323,Thank you.,
67,155325,156791,이번 주에는 고기먹을 수 있겠다,
68,158710,159710,봤지?,
69,159712,161012,40불이나 아꼈잖아.,
70,161014,163347,내가 예전부터 너 공부는  못한다고 했는데,
71,163349,166050,생활력은 강하네.,
72,166052,167167,포장해줄까?,
73,167169,168168,아니 됐어,
74,168170,170021,이 친구 가슴팍에 꽂아서 가지고 갈래.,
75,171139,173057,안녕 스튜어트,
76,173059,174125,아 안녕 윌,
77,174127,177445,잘 있었나 윌 위튼.,
78,177447,179363,안녕 쉘든,
79,179365,180398,칼 멋지네,
80,180400,182400,나의 소장용 칼 중의 하나지,
