,start,end,kor,eng
0,48,1932,빅뱅이론 지난 시간,The Big Bang Theory...
1,2030,5031,내 오빠...가 베르나데트에게 푹 빠졌어,My brother-- he's got a big crush on Bernadette.
2,6471,9505,네가 인디아로 돌아간다고??,You're moving back to India?
3,15762,17096,뭔..일이야??,What's going on?
4,17098,18547,(웃음),(laughs)
5,18549,21434,이건...이건 보이는게 다가 아냐 ㅋㅋ,It's-It's not what it looks like.
6,24555,27073,보이는게 뭔데?,What does it look like?
7,29076,32778,보이는 것이 다가 아니다.,It's not what it looks like.
8,33630,37617,보이는 것이 다가 아니다.,It's not what it looks like.
9,37619,39285,계속 뭐라는거야?,What are you grinding about?
10,39287,42505,오늘 아침에 일어난 페니의 난제 말이야,Penny's brain teaser this morning.
11,42505,44125,페니와 쿠스라팔리..,
12,44125,46342,네 침실에서 나왔지.,emerge from your bedroom.
13,46344,49879,그녀는 헝클어져 있었고 라지는 이불 한장 걸치고 있었지.,"She is disheveled, and Raj is dressed only in a sheet."
14,49881,55101,"단 한 가지 단서는, ""보이는게 다가 아니야.""","The sole clue: ""It's not what it looks like."""
15,55103,57803,"그냥 내버려둬, 쉘든.","Just let it go, Sheldon."
16,57805,61607,"가능하다면, 그랬겠지. 그치만 불가능하니, 안할거야.","If I could, I would, but I can't, so I shan't."
17,61609,63809,"페니를 아는 사람으로써,","Now, knowing Penny,"
18,63811,66979,확실한 답은 페니가 성교를 했다는 거야,"the obvious answer is, they engaged in coitus."
19,66981,68531,하지만...,But...
20,68533,70266,"그게 보이는게 다가 아니라는 전제 하예,","since that's what it looked like,"
21,70268,73519,우린 그걸 배제해야 돼,we can rule that out.
22,73521,74620,이제 써보자고,Let's put on
23,74622,77623,"우리의 생각하는 모자 말이야, 너도 할래?","our thinking cap, shall we?"
24,81778,85047,라지는 인도에서 왔지 그 더운 나라에서 말야,"Raj is from India, a tropical country."
25,85049,86749,세 번째로 더러워(third world hygiene??),Third World hygiene.
26,86751,90119,감염되는 기생충이 엄청 많아 예를 들면 요충같은 거 말야,"Parasitic infections are common, such as pinworms."
27,90121,91721,응 요충들의,Mm-hmm. The procedure
28,91723,93472,"절차는 말야, 먼저 기다리는 거야",for diagnosing pinworms is to wait
29,93474,95341,목표물이 잠에 들 때까지 말야,"until the subject is asleep,"
30,95343,97944,그리고 나면 그 벌레들은 공기를 위해서 항문으로 나오게 되지,and the worms crawl out of the rectum for air.
31,103967,106269,"그래, 그렇게 말야!","Yes, just like that."
32,107454,109238,페니는 어쩌면,Penny could have been
33,109240,111741,감염에 대비해 라지의 항문쪽 요충 검사를 한거야!,inspecting Raj's anal region for parasites.
34,111743,113276,"오, 이런","Oh, boy."
35,113278,115328,정말로 질린 친구군,That's a true blue friend.
36,115330,119332,"걔들 같이 잤습니다, 명탐정님.","They slept together, Sherlock."
37,119334,121367,"아냐, 못 들었구나?","No, you weren't listening."
38,121369,124787,페니가 말했잖아 그건  아니라고,She said it's   what it looks like.
39,124789,127206,거짓말이야,She lied.
40,130077,132295,오.,Oh.
41,133463,136849,이거 쓰고 있는거 병신같아 보여,Don't I look silly sitting here wearing this?
42,138268,141887,"♪ Our whole universe was in a hot, dense state ♪","♪ Our whole universe was in a hot, dense state ♪"
43,141889,145224,♪ Then nearly 14 billion years ago expansion started... Wait! ♪,♪ Then nearly 14 billion years ago expansion started... Wait! ♪
44,145226,146926,♪ The Earth began to cool ♪,♪ The Earth began to cool ♪
45,146928,149362,"♪ The autotrophs began to drool, Neanderthals developed tools ♪","♪ The autotrophs began to drool, Neanderthals developed tools ♪"
46,149364,152064,♪ We built the Wall ♪ ♪   ♪,♪ We built the Wall ♪ ♪   ♪
47,152066,154717,"♪ Math, Science, History, unraveling the mystery ♪","♪ Math, Science, History, unraveling the mystery ♪"
48,154719,156652,♪ That all started with a big bang ♪,♪ That all started with a big bang ♪
49,156654,158621,♪   ♪,♪   ♪
50,158646,162146,"Original Air Date on September 22, 2011","Original Air Date on September 22, 2011"
51,162171,165671,"== sync, corrected by   == == 자막 by 귀족코쟁이/배포자유/첫자막이에여 ㅋㅋ ==","== sync, corrected by   =="
52,172000,173000,안녕,Hey.
53,173002,173834,안녕,Hey.
54,173836,175836,안녕,Hey.
55,177301,179770,...안녕,Hey.
56,186415,188366,"레너드, 이상하지 않아?","Leonard, is it awkward for you"
57,188368,191202,네 절친중에 한 명이 네가 사랑했던 여성과,knowing that one of your dear friends had sexual intercourse
58,191204,193070,성적인 관계를 맺었다고 해서,with a woman you used to love
59,193072,195706,네 머릿속 깊은 곳에 그런 생각이 자리잡고 있다는게?,in the very place you lay your head?
60,197793,199894,"아니, 난 괜찮아","No, I'm fine with it."
61,199896,202046,비꼬는 것처럼 들리는데,"That sounds like sarcasm,"
62,202048,204081,무시하지 뭐,"but I'm going to disregard it,"
63,204083,206801,왜냐하면 재밌는 주제가 있거든-- 페인트볼이야.,because I have an agenda-- paintball.
64,206803,208252,"자세하게 말하면,  이번 주말에 있는","Specifically, the interdepartmental"
65,208254,209687,토너먼트를 말하는거야.,tournament this weekend.
66,209689,212756,병사로써 좀 더 제대로 싸우려면,"In order to function better as a fighting unit,"
