,start,end,kor,eng
0,2370,4304,슈퍼에 들려서 살게 있어,
1,4306,5339,이따 데리러 올게,
2,6792,9665,같이 있어주면 더 좋지만  허락하지 뭐,
3,9666,10864,쉘든 왔구나,
4,10866,12700,컷하러 왔는데,
5,12702,14034,도노프리오 아저시 계세요?,
6,14036,15970,미안한데 토니는  입원 중이라네,
7,15972,17171,상태가 좋지 않아,
8,17173,21008,도노프리오 아저씨가  병원에 있다니,
9,21010,23578,왜 나쁜 일은  나한테만 일어날까,
10,24379,25563,대신 해줄게,
11,25565,27448,도노프리오 아저씨가 아니잖아요,
12,28267,30351,전 도노프리오  아저씨한테만 받아요,
13,30353,31652,말도 안 되지?,
14,33555,34888,잠시만요,
15,34890,36407,"쉘든, 괜찮을 거야",
16,36409,37525,저 분도 이발사잖아,
17,37527,40328,이발사가 아니라  아저씨 조카야,
18,40330,45166,뷰티산업에 확산되어 있는 친족 등용을 보여주고 있어,
19,45168,49403,디노프리오 아저씨는  내 스타일을 잘 알고 있어,
20,49405,52607,텍사스에서 보낸 이발  내역을 갖고 계시니까,
21,52609,54408,무슨 소리야?,
22,54410,55543,처음 이사왔을 때,
23,55545,58179,머리를 자르기 두려워서,
24,58181,62249,엄마가 이발 내역서를  이쪽으로 보내줬어,
25,63251,66721,이발 내역서는 존재하지 않아,
26,66723,69523,있거든,
27,69525,70725,본 적 있어?,
28,70727,73294,엄마가 분명히 보냈다고 말했어,
29,73296,76714,내역서가 이분한테는  없다는 것에 1달러를 걸게,
30,77282,78549,"저기, 아저씨",
31,78551,81152,제 이발 내역서를  갖고 계시나요?,
32,81154,82787,뭐요?,
33,82789,84605,T.S. 엘리엇의 명언을  바꾸어 표현하면,
34,84607,86123,이것이 세상이  끝나는 방식이다,
35,86125,89126,쾅 하는 포성이 아니라  조카와 같이 온다,
36,90329,93381,"쉘든, 넌 성인이야 저 분은 전문가이시고",
37,93383,97301,네가 원하는 컷은  1946년도 포스터에 있잖아,
38,97303,99119,우선 앉고,
39,99121,100137,한번 믿어봐,
40,100139,103774,바보같이 잘라놓으면  네가 책임져,
41,112485,114185,우리 애가 재밌는  얘기를 해줬는데,
42,114187,115269,이건 아니다,
43,119324,121659,나중에 이 얘기도  누군가에게 들려주겠죠?,
44,121661,125079,저희는 별나다는  표현을 자주 써요,
45,144381,148381,,
46,148382,151882,자막,
47,154507,155718,파르메산 치즈 좀,
48,155719,157969,여기,
49,166029,167613,뭐하는 거야?,
50,167615,169648,머리카락이 눈을 가려서,
51,169798,170656,쉘든,
52,170657,173191,하루 지연된 것 뿐이잖아,
53,173193,175877,내 악몽에 캡션을  달아줘서 고마워,
54,177729,180331,출장 명령을 받았어,
55,181834,184035,탑승 과학 기술자 하워드 왈로위츠에게,
56,184037,187839,휴스턴 소재  NASA 존슨 우주 기지에서,
57,187841,190008,월요일 오전 8시부터  훈련이 예정되어 있습니다,
58,190010,193011,NASA 안내문이니까  8시가 아니라 0800이야,
59,193013,194762,오전 8시라고 되어 있어,
60,196181,198416,0800라고 읽는 거야,
61,198418,200518,앞에 0이 적혀 있지 않아,
62,200520,203221,'오'가 있긴 있어,
63,203223,206074,"오 마이 갓, 내가  우주 비행사라 질투하는구나",
64,208093,209360,훈련에는 어떤...?,
65,209362,211929,그 짓 좀 그만할래?,
66,211931,216417,어쩔 수 없어 10대 아이돌이 된 기분이야,
67,217920,219937,전에 동생 머리를  해준 적이 있는데,
68,219939,220938,내가 컷해줄까?,
69,220940,223908,좋은 의도로  말한 건 알겠어,
70,223910,226794,촌에서는 그렇게 했겠지,
71,226796,228579,도시에서는,
72,228581,230498,버터를 직접 만들지 않고,
73,230500,232667,자루를 치마로 리폼하지 않아,
