,start,end,kor,eng
0,1420,2735,만두 남은거 누가 먹을래?,Who wants the last dumpling?
1,2736,4086,나!,"Ooh, me!"
2,4088,5454,"페니, 잠깐만","Penny, a moment."
3,5456,7539,우린 태국음식을 먹었어,We just had Thai food.
4,7541,10459,태국에서 마지막으로 남아있는 음식을,"In that culture, the last morsel is called"
5,10461,13629,'그랭 지에'라고 부르는데,"the ""greng jie"" piece, and it is reserved for"
6,13631,16765,단체에서 가장 중요하고 힘이 센 멤버가 먹는거야,the most important and valued member of the group.
7,22122,25774,그렇다면 내가 고맙게 먹을게,Thank you all for this high honor.
8,26993,30646,어머니도 살이 찌셨던데 한 번 그렇게 계속 먹어봐,I've seen pictures of your mother; keep eating.
9,35068,38570,"자기, 영화보려면 이제 가야될것 같아","All right, honey, if we're gonna make the movie, we should go."
10,41908,44159,너한테는 조금 힘들지 모르겠지만,"This may be hard for you to hear,"
11,44161,47246,내가 자기라고 한 건 내 약혼상대를 말한거야,"but when I say ""honey,"" I mean my fiancee."
12,49082,52084,이제는 너 아니야,"Yeah, well, now it means her."
13,53837,55804,같이 따라와도 난 상관없어,It's okay if he wants to come.
14,55806,58423,"좋아, 하지만 다음번엔 우리가 앉을데를 고를거야","Fine. But next time, we get a sitter."
15,60009,61977,일하러 가 봐야겠다 너네랑 같이 갈게,"All right, I got to go to work. I'll walk down with you."
16,61979,63228,잠깐만,Wait.
17,63230,66131,시내에 새로 생긴 기차모형 가게가,"Which is closer to the new train store in Monrovia,"
18,66133,68317,영화관이랑 가까워? 페니 일하는데랑 가까워?,the movie theater or The Cheesecake Factory?
19,68319,70402,거긴 엄청 멀어,Neither of them are close.
20,70404,72404,그럼 너희중에 아무나,"Oh, well, then I guess it doesn't matter which one"
21,72406,73322,날 태워주면 되겠네,of you drives me.
22,73324,74773,그럼 우리 게임해서,Let's play a fun guessing game
23,74775,76491,이기는 사람이 날 태워가는걸로 하자,to see who gets to take me.
24,76493,79862,"좋아, 네글자인데","All right, this four-letter word describes either"
25,79864,83782,활자 크기의 단위나 흙을 먹고 싶은 충동을 뜻해,a printer's type size or a compulsion to eat dirt.
