,start,end,kor,eng
0,2370,4304,슈퍼에 들려서 살게 있어,I'm just gonna run to the store and get a few things.
1,4306,5339,이따 데리러 올게,I'll pick you up when you're done.
2,6792,9665,같이 있어주면 더 좋지만  허락하지 뭐,"I like it a little better when you stay, but all right."
3,9666,10864,쉘든 왔구나,"Hey, Sheldon."
4,10866,12700,컷하러 왔는데,Hello. I'm here for my haircut
5,12702,14034,도노프리오 아저시 계세요?,with Mr. D'Onofrio.
6,14036,15970,미안한데 토니는  입원 중이라네,"I'm sorry, Uncle Tony's in the hospital."
7,15972,17171,상태가 좋지 않아,He's pretty sick.
8,17173,21008,도노프리오 아저씨가  병원에 있다니,"Oh, dear, Mr. D'Onofrio's in the hospital."
9,21010,23578,왜 나쁜 일은  나한테만 일어날까,Why do these things always happen to me?
10,24379,25563,대신 해줄게,I can cut it for you.
11,25565,27448,도노프리오 아저씨가 아니잖아요,You're not Mr. D'Onofrio.
12,28267,30351,전 도노프리오  아저씨한테만 받아요,I get my hair cut by Mr. D'Onofrio.
13,30353,31652,말도 안 되지?,You believe this guy?
14,33555,34888,잠시만요,Excuse us for a second.
15,34890,36407,"쉘든, 괜찮을 거야","Sheldon, it's okay, he can do it."
16,36409,37525,저 분도 이발사잖아,He's a barber.
17,37527,40328,이발사가 아니라  아저씨 조카야,"He's not a barber, he's the nephew."
18,40330,41862,뷰티산업에 확산되어 있는 친족 등용을 보여주고 있어,He's an example of the kind
19,45168,46834,디노프리오 아저씨는  내 스타일을 잘 알고 있어,"Besides, Mr. D'Onofrio knows"
20,49405,52607,텍사스에서 보낸 이발  내역을 갖고 계시니까,all my haircut records from my barber in Texas.
21,52609,54408,무슨 소리야?,What are you talking about?
22,54410,55543,처음 이사왔을 때,"When I first moved here,"
23,55545,58179,머리를 자르기 두려워서,"I was nervous about finding a new barber,"
24,58181,60097,엄마가 이발 내역서를  이쪽으로 보내줬어,so my mother had all my haircut records
25,63251,66721,이발 내역서는 존재하지 않아,There's no such thing as haircut records.
26,66723,69523,있거든,"Yes, there are."
27,69525,70725,본 적 있어?,Have you ever seen them?
28,70727,73294,엄마가 분명히 보냈다고 말했어,"No, but my mother assured me they were sent here,"
29,73296,75112,내역서가 이분한테는  없다는 것에 1달러를 걸게,and I'll bet you dollars to donuts
30,77282,78549,"저기, 아저씨","Uh, excuse me."
31,78551,81152,제 이발 내역서를  갖고 계시나요?,Do you have access to my haircut records?
32,81154,82787,뭐요?,Your what?
33,82789,84605,T.S. 엘리엇의 명언을  바꾸어 표현하면,"To paraphrase T.S. Eliot,"
34,84607,86123,이것이 세상이  끝나는 방식이다,this is the way the world ends--
35,86125,89126,쾅 하는 포성이 아니라  조카와 같이 온다,not with a bang but with a nephew.
36,90329,93381,"쉘든, 넌 성인이야 저 분은 전문가이시고","Sheldon, you're a grown man, he's a professional,"
37,93383,97301,네가 원하는 컷은  1946년도 포스터에 있잖아,and your haircut is number three on that poster from 1946.
38,97303,99119,우선 앉고,Just sit down
39,99121,100137,한번 믿어봐,and let him do it.
40,100139,101789,바보같이 잘라놓으면  네가 책임져,"Fine, but if I come out of this"
41,112485,114185,우리 애가 재밌는  얘기를 해줬는데,So my kid said the funniest thing today.
42,114187,115269,이건 아니다,Nope.
43,119324,121659,나중에 이 얘기도  누군가에게 들려주겠죠?,"When you tell this story later,"
44,121661,125079,저희는 별나다는  표현을 자주 써요,"the word we usually use is ""quirky."""
45,144381,148381,,"Original Air Date on February 23, 2012"
46,148382,151882,자막,"== sync, corrected by   =="
47,154507,155718,파르메산 치즈 좀,Can you pass the Parmesan cheese?
48,155719,157969,여기,Sure.
49,166029,167613,뭐하는 거야?,What are you doing?
50,167615,169648,머리카락이 눈을 가려서,I'm trying to get the hair out of my eyes.
51,169798,170656,쉘든,"LEONARD: Sheldon,"
52,170657,173191,하루 지연된 것 뿐이잖아,you are one day late for your haircut.
53,173193,175877,내 악몽에 캡션을  달아줘서 고마워,Thank you for captioning my nightmare.
54,177729,180331,출장 명령을 받았어,"Lookie here, I got my travel orders."
55,181834,184035,탑승 과학 기술자 하워드 왈로위츠에게,"""Payload Specialist Howard Wolowitz is requested"
56,184037,186737,휴스턴 소재  NASA 존슨 우주 기지에서,"""to report to the NASA Johnson Space Center,"
57,187841,190008,월요일 오전 8시부터  훈련이 예정되어 있습니다,"for astronaut training Monday 8:00 a.m."""
58,190010,193011,NASA 안내문이니까  8시가 아니라 0800이야,"Yeah, but it's from NASA, so it's 0800."
59,193013,194762,오전 8시라고 되어 있어,"But it says ""8:00 a.m"""""
60,196181,198416,0800라고 읽는 거야,"You read it as ""0800."""
61,198418,200518,앞에 0이 적혀 있지 않아,"It doesn't have an ""O"" in front of it."
62,200520,203221,'오'가 있긴 있어,"You know what does have an ""oh"" in front of it?"
63,203223,206074,"오 마이 갓, 내가  우주 비행사라 질투하는구나","""Oh, my God, I'm an astronaut, and you're dying of jealousy."""
64,208093,209360,훈련에는 어떤...?,"So, what kind of things are they...?"
65,209362,211929,그 짓 좀 그만할래?,Will you stop that?
66,211931,216417,어쩔 수 없어 10대 아이돌이 된 기분이야,"I can't help it, I feel like a teen heartthrob."
67,217920,219937,전에 동생 머리를  해준 적이 있는데,"You know, Sheldon, I used to cut my brother's hair."
68,219939,220938,내가 컷해줄까?,I could do it for you.
69,220940,223908,좋은 의도로  말한 건 알겠어,"Penny, I know you mean well,"
70,223910,226794,촌에서는 그렇게 했겠지,"offering the skills of the hill folk, but, um,"
71,226796,228579,도시에서는,"here in town,"
72,228581,230498,버터를 직접 만들지 않고,"we don't churn our own butter,"
73,230500,232667,자루를 치마로 리폼하지 않아,"we don't make dresses out of gunny sacks,"
74,232669,235136,역샘한 금발 여자한테 컷을 맡기는 건...,"and, uh, we sure as shootin' don't get our hair cut"
75,236139,238022,"쉘든, 못되게 굴지 마","Sheldon, be nice."
76,238024,240591,머리 때문에 나쁜  남자처럼 행동하게 되네,"I'm sorry, it's the bad boy attitude"
77,245797,246814,내가 가는 미용실은 어때,You could go to my guy.
78,246816,248683,베벌리힐스에  주안주안이라고 있어,He's at Juan-Juan in Beverly Hills.
79,248685,250735,차도 마시고  두피 마사지도 받고,"They bring you a cup of tea, they'll massage your scalp."
80,250737,253804,200달러라서  좀 비싸긴 하지만,"It's about $200, but sometimes you look in the next chair"
81,253806,257191,옆 자리에 토니 단자같은 연예인이 앉을 수도 있어,and you see a superstar like Tony Danza.
82,258277,259310,뭐 좀 물어보자,WOLOWITZ: Quick question here:
83,259312,261329,우주 비행사 훈련 소식을 방금 전했는데,Have we actually changed the conversation
84,262866,265649,헤어컷 얘기로  벌써 넘어갔어?,"to ""Sheldon can't get a haircut""?"
85,265651,266801,지금은 누가  질투를 하고 있지?,Now who's dying of jealousy?
86,266803,270288,"오, 바로 너네","""Oh,"" it's you."
87,292228,293511,쉘든,"Sheldon,"
88,293513,295246,애인이랑 같이  노래 부르는 날이잖아,you're ruining girlfriend- boyfriend sing-along night.
89,295248,297515,미안해,I'm sorry.
90,297517,300735,이발소를 찾고 있는데  시간이 부족해,I'm looking for a barber and I'm running out of time.
91,300737,301836,머리가 1펨토초 당  4.6욕토미터나 자라고 있어,My hair is growing at the rate
92,306108,308876,조용히 하면 소리도 들려,"I mean, if you're quiet, you can hear it."
93,309694,312530,'슈퍼컷'은 어때?,What about Supercuts?
94,312532,313531,한번 간 적이 있는데,I tried once.
95,313533,314849,남녀를 같은  공간에서 다루더라,They do men's and women's hair
96,317253,320221,헤어 무스를 추가한 소돔과 고모라야,It's like Sodom and Gomorrah with mousse.
97,320223,322807,위기 상황은 아니네,"Well, this isn't a crisis."
98,322809,324926,머리는 좀 길어도 되잖아,Why don't you just let your hair grow out a little?
99,324928,326043,머리는 좀 길어도 된다고?,Why don't I let
100,327163,329797,그럴 바엔 버켄스탁을 신고,"Um, why don't I start wearing Birkenstocks"
101,329799,332817,남들한테 확인 받기 위해,and seeking validation of my opinions by asking
102,332819,334368,Can you dig it이라고 물어보겠지,"""Can you dig it?"""
103,334370,337038,글쎄,"Well, I don't know."
104,337040,339173,긴 머리를 하면  섹시해 보일 것 같아,I think you might look sexy with long hair.
105,340409,343161,어깨 정도까지  내려오는 길이에,The kind that flows down to your shoulders
106,343163,346614,말을 타면 바람에 휘날리고,and blows back while riding on a horse.
107,348717,351352,맨몸과 넓은 가슴,Bareback and bare-chested.
108,353622,356374,"양치 좀 하고 올게, 좀 걸릴 거야",I'm gonna go brush my teeth; it might take a while.
109,361413,362547,안녕,Hi.
110,362549,363948,자기야,"Hi, sweetie."
111,363950,365149,보고 싶어,I miss you.
112,365151,366717,나도,"I miss you, too."
113,366719,369303,첫 날은 어땠어?,So tell me all about your first day.
114,369305,371789,어디서부터 말하지,"Oh, wow, where do I even start?"
115,371791,375109,무중력 체험을 해봤어,I got to experience zero gravity.
116,375111,376394,어떻게 하는건데?,Cool. How do they do that?
117,376396,377395,근사했어,It's pretty neat.
118,377397,378629,비행기를 타고,You get in this plane
119,378631,382650,20초 동안 올라가다가,"that goes almost straight up for, like, 20 seconds,"
120,382652,387288,추락할 것처럼 다시 내려오는 거야,"and then straight back down like it's going to crash, and"
121,387290,388573,그리고는 계속 반복하지,they do it
122,390577,392776,토해도 멈추지 않아,no matter how many times you throw up.
123,392778,394612,토했어?,You threw up?
124,394614,398166,재밌는 건 무중력 상태라,"Yeah... and the craziest part is, because there's no gravity,"
125,398168,402920,분비물이 공중에 떠다녀,the throw-up kind of floats there...
126,402922,404121,작은 덩어리로 뭉쳐서,"in a little ball,"
